Node0 Layer,Node0 X location,Node0 Y location,Node1 Layer,Node1 X location,Node1 Y location,Current
Metal1,21.7550,141.1200,Metal1,24.4300,141.1200,6.000e-11
Metal1,21.7550,148.9600,Metal1,25.2500,148.9600,6.000e-11
Metal1,21.7550,164.6400,Metal1,22.5900,164.6400,3.000e-11
Metal1,21.7550,172.4800,Metal1,22.0850,172.4800,8.289e-13
Metal1,21.7550,180.3200,Metal1,22.5900,180.3200,3.000e-11
Metal1,21.7550,188.1600,Metal1,23.2100,188.1600,5.000e-11
Metal1,21.7550,196.0000,Metal1,23.7650,196.0000,3.298e-14
Metal1,21.7550,211.6800,Metal1,22.0300,211.6800,1.678e-12
Metal1,21.7550,219.5200,Metal1,23.7650,219.5200,9.457e-14
Metal1,21.7550,227.3600,Metal1,23.7000,227.3600,4.000e-11
Metal1,21.7550,250.8800,Metal1,24.2700,250.8800,6.000e-11
Metal1,21.7550,258.7200,Metal1,24.3450,258.7200,3.084e-13
Metal1,21.7550,266.7275,Metal1,22.0750,266.5600,2.855e-11
Metal1,21.7550,274.4000,Metal1,26.3400,274.4000,6.000e-11
Metal1,21.7550,282.2400,Metal1,24.2700,282.2400,6.000e-11
