Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_241_481,VSS,Metal1,290.0800,972.1600,0.000004
FILLER_241_448,VSS,Metal1,271.3200,972.1600,0.000003
FILLER_241_434,VSS,Metal1,263.7600,972.1600,0.000003
FILLER_241_430,VSS,Metal1,261.7000,971.8110,0.000003
FILLER_241_422,VSS,Metal1,258.2130,971.6980,0.000003
FILLER_241_407,VSS,Metal1,248.3600,972.1600,0.000003
FILLER_241_403,VSS,Metal1,246.5800,971.8110,0.000003
FILLER_241_384,VSS,Metal1,235.7600,972.1600,0.000002
FILLER_241_373,VSS,Metal1,229.3200,972.1600,0.000002
FILLER_241_359,VSS,Metal1,221.4800,972.1600,0.000002
FILLER_241_357,VSS,Metal1,220.6400,972.1600,0.000002
FILLER_241_349,VSS,Metal1,215.8800,972.1600,0.000002
FILLER_241_333,VSS,Metal1,207.2000,972.1600,0.000002
FILLER_241_309,VSS,Metal1,193.4800,972.1600,0.000002
FILLER_241_284,VSS,Metal1,179.4800,972.1600,0.000003
FILLER_241_282,VSS,Metal1,178.6400,972.1600,0.000003
FILLER_241_255,VSS,Metal1,163.2400,972.1600,0.000004
FILLER_241_219,VSS,Metal1,143.3600,972.1600,0.000004
FILLER_241_201,VSS,Metal1,133.0000,972.1600,0.000004
FILLER_241_187,VSS,Metal1,125.1600,972.1600,0.000003
FILLER_241_144,VSS,Metal1,101.0800,972.1600,0.000003
FILLER_241_142,VSS,Metal1,100.2400,972.1600,0.000003
FILLER_241_90,VSS,Metal1,70.8400,972.1600,0.000003
FILLER_241_74,VSS,Metal1,61.8800,972.1600,0.000002
FILLER_241_72,VSS,Metal1,61.0400,972.1600,0.000002
FILLER_241_63,VSS,Metal1,56.0000,972.1600,0.000002
FILLER_241_56,VSS,Metal1,52.0800,972.1600,0.000002
FILLER_241_24,VSS,Metal1,33.8800,972.1600,0.000002
FILLER_241_2,VSS,Metal1,21.8400,972.1600,0.000002
FILLER_240_1673,VSS,Metal1,960.9120,964.8680,0.000003
FILLER_240_1659,VSS,Metal1,949.9400,964.6685,0.000003
FILLER_240_1651,VSS,Metal1,946.4530,964.7815,0.000003
FILLER_240_1623,VSS,Metal1,929.6000,964.3200,0.000004
FILLER_240_1599,VSS,Metal1,915.8800,964.3200,0.000006
FILLER_240_1595,VSS,Metal1,914.1000,964.6685,0.000006
FILLER_240_1577,VSS,Metal1,903.5600,964.3200,0.000006
FILLER_240_1569,VSS,Metal1,899.0800,964.3200,0.000006
FILLER_240_1559,VSS,Metal1,893.4800,964.3200,0.000006
FILLER_240_1555,VSS,Metal1,891.7000,964.6685,0.000006
FILLER_240_1521,VSS,Metal1,872.4800,964.3200,0.000007
FILLER_240_1517,VSS,Metal1,870.4200,964.6685,0.000008
FILLER_240_1487,VSS,Metal1,853.6200,964.6685,0.000016
FILLER_240_1452,VSS,Metal1,833.5600,964.3200,0.000016
FILLER_240_1433,VSS,Metal1,823.2000,964.3200,0.000016
FILLER_240_1429,VSS,Metal1,821.1400,964.6685,0.000016
FILLER_240_1422,VSS,Metal1,817.0400,964.3200,0.000016
FILLER_240_1406,VSS,Metal1,807.8000,964.3200,0.000015
FILLER_240_1404,VSS,Metal1,806.9600,964.3200,0.000015
FILLER_240_1369,VSS,Metal1,787.0800,964.3200,0.000013
FILLER_240_1367,VSS,Metal1,786.2400,964.3200,0.000013
FILLER_240_1299,VSS,Metal1,747.8800,964.3200,0.000008
FILLER_240_1297,VSS,Metal1,747.0400,964.3200,0.000008
FILLER_240_1294,VSS,Metal1,745.0800,964.3200,0.000007
FILLER_240_1285,VSS,Metal1,740.0400,964.3200,0.000007
FILLER_240_1269,VSS,Metal1,731.0800,964.3200,0.000006
FILLER_240_1261,VSS,Metal1,728.0530,964.7815,0.000005
FILLER_240_1242,VSS,Metal1,716.2400,964.3200,0.000005
FILLER_240_1224,VSS,Metal1,705.8800,964.3200,0.000005
FILLER_240_1220,VSS,Metal1,704.1000,964.6685,0.000005
FILLER_240_1212,VSS,Metal1,700.6130,964.7815,0.000005
FILLER_240_1204,VSS,Metal1,694.9600,964.3200,0.000005
FILLER_240_1190,VSS,Metal1,687.1200,964.3200,0.000005
FILLER_240_1186,VSS,Metal1,685.0600,964.6685,0.000004
FILLER_240_1161,VSS,Metal1,670.8800,964.3200,0.000004
FILLER_240_1157,VSS,Metal1,668.8200,964.6685,0.000004
FILLER_240_1115,VSS,Metal1,645.1200,964.3200,0.000002
FILLER_240_1091,VSS,Metal1,631.6800,964.3200,0.000002
