Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_270_847,VDD,Metal1,495.0400,1085.8400,4.986663
FILLER_270_839,VDD,Metal1,492.7465,1085.2630,4.986663
FILLER_270_807,VDD,Metal1,481.7155,1085.0710,4.986663
FILLER_270_801,VDD,Metal1,470.2200,1085.4075,4.986663
FILLER_270_766,VDD,Metal1,449.4000,1085.8400,4.986663
FILLER_270_764,VDD,Metal1,448.5600,1085.8400,4.986663
FILLER_270_756,VDD,Metal1,446.2665,1085.2630,4.986663
FILLER_270_741,VDD,Metal1,435.6800,1085.8400,4.986666
FILLER_270_737,VDD,Metal1,434.3800,1085.4075,4.986666
FILLER_270_734,VDD,Metal1,431.4800,1085.8400,4.986666
FILLER_270_732,VDD,Metal1,430.6400,1085.8400,4.986666
FILLER_270_716,VDD,Metal1,426.2080,1085.1480,4.986666
FILLER_270_684,VDD,Metal1,412.8355,1085.0710,4.986669
FILLER_270_675,VDD,Metal1,398.4400,1085.8400,4.986675
FILLER_270_669,VDD,Metal1,395.0800,1085.8400,4.986675
FILLER_270_667,VDD,Metal1,394.2400,1085.8400,4.986675
FILLER_270_664,VDD,Metal1,392.2800,1085.8400,4.986676
FILLER_270_662,VDD,Metal1,391.4400,1085.8400,4.986676
FILLER_270_594,VDD,Metal1,353.0800,1085.8400,4.986689
FILLER_270_592,VDD,Metal1,352.2400,1085.8400,4.986689
FILLER_270_583,VDD,Metal1,346.9200,1085.8400,4.986689
FILLER_270_546,VDD,Metal1,328.6665,1085.2630,4.986692
FILLER_270_527,VDD,Metal1,315.8400,1085.8400,4.986696
FILLER_270_524,VDD,Metal1,313.8800,1085.8400,4.986697
FILLER_270_516,VDD,Metal1,311.8665,1085.2630,4.986697
FILLER_270_493,VDD,Metal1,296.8000,1085.8400,4.986704
FILLER_270_430,VDD,Metal1,262.4600,1085.4075,4.986707
FILLER_270_405,VDD,Metal1,247.2400,1085.8400,4.986708
FILLER_270_403,VDD,Metal1,246.4000,1085.8400,4.986708
FILLER_270_399,VDD,Metal1,245.1000,1085.4075,4.986708
FILLER_270_387,VDD,Metal1,237.4400,1085.8400,4.986708
FILLER_270_384,VDD,Metal1,235.4800,1085.8400,4.986708
